ecommerce_website_name,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3
Nike,"57,589.75","26,094.88","49,466.67","47,400.69","38,535.40","27,308.98","81,187.00","42,430.62","18,024.03","23,389.42","5,281.60"
Walmart,"19,646.97","26,336.09","32,397.51","30,020.28","25,008.51","67,240.57","40,993.97","28,361.97","29,345.32","42,140.80","14,581.66"
Costco,"31,883.04","44,098.56","47,802.18","30,722.84","24,628.72","24,335.49","57,420.53","34,411.59","52,640.26","28,207.73","13,548.66"
Etsy,"28,868.99","59,384.34","40,969.01","43,247.15","31,951.87","23,911.51","49,504.27","28,222.88","27,038.40","37,309.45","6,951.83"
Wayfair,"34,179.40","28,737.72","26,985.26","24,549.15","34,268.25","47,350.28","30,117.17","36,477.38","42,422.79","30,562.55","15,491.98"
Bestbuy,"29,376.72","21,350.71","33,091.14","32,534.52","36,623.62","36,618.86","36,358.40","44,196.83","39,677.52","48,870.23","15,253.25"
Homedepot,"23,312.86","40,313.47","33,776.72","27,676.14","36,625.58","53,671.29","42,017.91","30,547.26","22,159.41","38,457.30","27,324.69"
Ebay,"25,898.79","32,782.04","24,721.08","35,507.63","54,439.93","51,884.58","33,988.60","30,850.96","26,547.17","38,816.42","5,994.27"
Alibaba,"39,816.97","30,657.08","36,891.09","47,532.51","46,760.26","30,203.73","32,673.23","32,383.28","44,474.13","31,950.68","6,566.78"
Apple,"31,900.29","51,372.33","26,051.88","25,475.67","37,397.10","25,792.40","30,529.32","39,256.81","39,421.14","25,220.93","3,007.68"
Amazon,"26,541.53","72,612.59","49,840.33","64,479.49","24,482.40","40,703.53","34,929.83","40,145.81","36,288.22","32,606.69","12,630.02"
