product_category,unit_sold,total_sales
accessories,14844,1924807.28
appliances,3387,549694.33
bags & luggage,879,28826.07
beauty & health,936,19061.54
car & motorbike,884,19758.06
grocery & gourmet foods,475,11750.88
home & kitchen,965,16153.74
industrial supplies,645,10168.87
kids' fashion,1640,47143.68
men's clothing,9395,232159.04
men's shoes,8139,322089.42
music,232,12435.1
pet supplies,166,786.45
sports & fitness,1794,64592.87
stores,3523,184677.73
toys & baby products,1105,12470.46
"tv, audio & cameras",7414,484732.99
women's clothing,9348,194173.71
women's shoes,519,17363.33
